,Quantity,Rate,trial,type
82,0.01,5045.4062,10,buy
83,0.0019821,5045.1504571,10,buy
84,0.2993707,5042.81356191,10,buy
85,0.07758822,5042.53292377,10,buy
86,0.00595216,5040.18068503,10,buy
87,0.00086654,5040.0,10,buy
88,0.00989976,5038.0,10,buy
89,0.00930762,5037.0,10,buy
90,0.01130534,5033.43019435,10,buy
91,0.04255809,5032.93,10,buy
92,0.00391428,5032.8569942,10,buy
93,0.004,5032.6156,10,buy
94,0.00504219,5031.01187669,10,buy
95,0.00086185,5030.0,10,buy
96,0.00925099,5029.20001663,10,buy
97,0.11807495,5027.32,10,buy
98,0.01,5025.94217831,10,buy
99,0.59595226,5025.37538899,10,buy
0,0.4,5154.73557343,10,sell
1,0.37621591,5154.73557344,10,sell
2,0.1,5155.92999999,10,sell
3,0.6,5156.70999999,10,sell
4,2.0,5157.51,10,sell
5,3.0,5158.86,10,sell
6,4.999,5159.2,10,sell
7,0.11464,5159.74182259,10,sell
8,5.0,5161.37,10,sell
9,0.57321,5161.89675608,10,sell
10,0.59999996,5165.2695327,10,sell
11,0.13703439,5167.26644999,10,sell
12,2.95837915,5168.15557783,10,sell
13,1.61272768,5170.57396758,10,sell
14,3.8,5183.28193673,10,sell
15,0.002,5183.28193674,10,sell
16,0.001,5183.2875,10,sell
17,0.002,5183.589,10,sell
18,0.0027041,5183.5995064,10,sell
19,0.001,5183.79,10,sell
20,0.002,5185.0965,10,sell
21,0.001,5185.4985,10,sell
22,0.001,5185.8,10,sell
23,0.001,5186.001,10,sell
24,0.001,5186.805,10,sell
25,0.00075734,5187.76535229,10,sell
26,0.001,5189.217,10,sell
27,0.001,5189.9205,10,sell
28,8.21503886,5190.0,10,sell
29,0.07642107,5190.00961703,10,sell
30,0.00555938,5190.17619167,10,sell
31,0.001,5190.5235,10,sell
32,0.00678627,5191.099335,10,sell
33,0.001,5191.428,10,sell
34,0.001,5193.9405,10,sell
35,0.001,5194.16633201,10,sell
36,38.0,5194.18586054,10,sell
37,0.002,5194.3425,10,sell
38,0.001,5195.3475,10,sell
39,0.01040604,5196.3435178,10,sell
40,0.001,5196.855,10,sell
41,0.001,5199.3675,10,sell
42,0.303,5200.0,10,sell
43,0.001,5200.45,10,sell
44,0.001,5200.5735,10,sell
45,0.0066121,5200.57459379,10,sell
46,0.001,5202.0,10,sell
47,0.01942162,5202.133776,10,sell
48,0.001,5202.684,10,sell
49,0.001,5204.1915,10,sell
50,0.001,5204.38244999,10,sell
51,0.74917021,5204.8572984,10,sell
52,0.001,5205.02565,10,sell
53,0.00122915,5205.12557843,10,sell
54,0.001,5206.6035,10,sell
55,0.001,5207.2531987,10,sell
56,0.001,5208.111,10,sell
57,0.001,5208.513,10,sell
58,0.00337511,5209.97999998,10,sell
59,0.003,5210.0,10,sell
60,0.00207452,5212.82434136,10,sell
61,0.00720887,5214.37639715,10,sell
62,0.06095016,5215.0,10,sell
63,0.12167662,5215.86223492,10,sell
